Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"RL","Utilisation des terres","107","Côte d'Ivoire","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","32246","A","Chiffre officiel"
"RL","Utilisation des terres","98","Croatie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","8807.3","A","Chiffre officiel"
"RL","Utilisation des terres","49","Cuba","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","10988","A","Chiffre officiel"
"RL","Utilisation des terres","279","Curaçao","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","44.4","A","Chiffre officiel"
"RL","Utilisation des terres","54","Danemark","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4292","A","Chiffre officiel"
"RL","Utilisation des terres","72","Djibouti","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2320","A","Chiffre officiel"
"RL","Utilisation des terres","55","Dominique","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","75","A","Chiffre officiel"
"RL","Utilisation des terres","59","Égypte","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","100145","A","Chiffre officiel"
"RL","Utilisation des terres","60","El Salvador","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2104","A","Chiffre officiel"
"RL","Utilisation des terres","225","Émirats arabes unis","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","9864.79","A","Chiffre officiel"
"RL","Utilisation des terres","58","Équateur","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","25637","A","Chiffre officiel"
"RL","Utilisation des terres","178","Érythrée","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","12163.5908","I","Valeur imputée"
"RL","Utilisation des terres","203","Espagne","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","50594","A","Chiffre officiel"
"RL","Utilisation des terres","63","Estonie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4534","A","Chiffre officiel"
"RL","Utilisation des terres","209","Eswatini","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1736","A","Chiffre officiel"
"RL","Utilisation des terres","231","États-Unis d'Amérique","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","983151","A","Chiffre officiel"
"RL","Utilisation des terres","238","Éthiopie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","113624.3504","I","Valeur imputée"
"RL","Utilisation des terres","185","Fédération de Russie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1709825","A","Chiffre officiel"
